PropertyTimestampInNumber,AirFlowActive,AirFlowNormalized,AirValvePosition,DischargeAirTemp,SpaceTemp,SpaceTempCoolingSetpointActive,SpaceTempHeatingSetpointActive
20160104001500,133.8,45.5102,42,47.5,68.4,68.0,59.8
20160104003000,133.8,45.5102,42,47.5,68.1,68.0,59.8
20160104004500,133.8,45.5102,42,46.8,68.0,68.0,59.8
20160104010000,133.8,45.5102,42,46.8,68.1,68.0,59.8
20160104011500,133.8,45.5102,42,46.8,68.2,68.0,59.8
20160104013000,133.8,45.5102,42,46.8,68.3,68.0,59.8
20160104014500,147.6,50.2041,44,46.8,68.3,68.0,59.8
20160104020000,147.6,50.2041,44,46.8,68.1,68.0,59.8
20160104021500,147.6,50.2041,44,46.8,68.0,68.0,59.8
20160104023000,147.6,50.2041,44,46.8,67.9,68.0,59.8
20160104024500,147.6,50.2041,44,46.8,67.9,68.0,59.8
20160104030000,147.6,50.2041,44,46.8,67.8,68.0,59.8
20160104031500,147.6,50.2041,44,46.8,68.0,68.0,59.8
20160104033000,147.6,50.2041,44,46.8,68.2,68.0,59.8
20160104034500,147.6,50.2041,44,46.8,68.0,68.0,59.8
20160104040000,147.6,50.2041,44,46.8,67.9,68.0,59.8
20160104041500,147.6,50.2041,44,46.8,67.8,68.0,59.8
20160104043000,147.6,50.2041,44,46.8,67.9,68.0,59.8
20160104044500,147.6,50.2041,44,46.8,67.9,68.0,59.8
20160104050000,147.6,50.2041,44,46.8,67.8,68.0,59.8
20160104051500,147.6,50.2041,44,46.8,67.7,68.0,59.8
20160104053000,141.6,48.1633,43,46.8,67.7,68.0,59.8
20160104054500,141.6,48.1633,43,46.8,68.1,68.0,59.8
20160104060000,139.8,47.551,43,46.8,68.2,68.0,59.8
20160104061500,139.8,47.551,43,48.3,68.1,68.0,59.8
20160104063000,139.8,47.551,43,48.3,68.1,68.0,59.8
20160104064500,139.8,47.551,43,47.6,68.1,68.0,59.8
20160104070000,139.8,47.551,43,46.8,68.3,68.0,59.8
20160104071500,160.2,54.4898,46,46.8,68.2,68.0,59.8
20160104073000,160.2,54.4898,46,46.8,68.1,68.0,59.8
20160104074500,160.2,54.4898,46,46.8,68.0,68.0,59.8
20160104080000,160.2,54.4898,46,46.8,68.0,68.0,59.8
20160104081500,160.2,54.4898,46,46.8,67.9,68.0,59.8
20160104083000,160.2,54.4898,46,46.8,67.9,68.0,59.8
20160104084500,160.2,54.4898,46,47.6,67.9,68.0,59.8
20160104090000,160.2,54.4898,46,46.8,68.0,68.0,59.8
20160104091500,162.6,55.3061,46,46.8,68.0,68.0,59.8
20160104093000,162.6,55.3061,46,46.8,68.1,68.0,59.8
20160104094500,160.8,54.6939,46,46.8,68.1,68.0,59.8
20160104100000,162.6,55.3061,46,46.8,68.1,68.0,59.8
20160104101500,162.6,55.3061,46,46.8,68.2,68.0,59.8
20160104103000,162.6,55.3061,46,46.8,68.2,68.0,59.8
20160104104500,162.6,55.3061,46,46.8,68.3,68.0,59.8
20160104110000,204.0,69.3878,52,46.8,68.6,68.0,59.8
20160104111500,244.8,83.2653,57,46.1,68.6,68.0,59.8
20160104113000,262.2,89.1837,60,46.1,68.5,68.0,59.8
20160104114500,266.4,90.6122,61,46.1,68.3,68.0,59.8
20160104120000,262.2,89.1837,61,46.1,68.1,68.0,59.8
20160104121500,271.2,92.2449,61,46.7,67.8,68.0,59.8
20160104123000,274.8,93.4694,61,46.7,67.9,68.0,59.8
20160104124500,271.2,92.2449,60,46.7,67.9,68.0,59.8
20160104130000,271.2,92.2449,60,46.7,67.9,68.0,59.8
20160104131500,274.8,93.4694,60,46.7,68.1,68.0,59.8
20160104133000,271.2,92.2449,60,46.7,68.2,68.0,59.8
20160104134500,287.4,97.7551,62,46.7,68.4,68.0,59.8
20160104140000,287.4,97.7551,62,46.7,68.6,68.0,59.8
20160104141500,287.4,97.7551,62,46.7,68.6,68.0,59.8
20160104143000,287.4,97.7551,62,46.7,68.4,68.0,59.8
20160104144500,287.4,97.7551,62,46.7,68.2,68.0,59.8
20160104150000,287.4,97.7551,62,46.7,68.0,68.0,59.8
20160104151500,287.4,97.7551,62,46.7,67.5,68.0,59.8
20160104153000,253.8,86.3265,58,46.7,67.7,68.0,59.8
20160104154500,253.8,86.3265,58,46.7,67.6,68.0,59.8
20160104160000,213.6,72.6531,53,46.7,67.7,68.0,59.8
20160104161500,222.6,75.7143,54,46.7,68.2,68.0,59.8
20160104163000,187.8,63.8776,49,46.7,67.3,68.0,59.8
20160104164500,117.6,40.0,39,47.6,67.2,68.0,59.8
