PropertyTimestampInNumber,CoolOutputPercent,MixedAirTemp,OutdoorAirDamperMinPositionActive,OutdoorAirDamperOutput,OutdoorAirEnthalpyReference,SpaceRelativeHumidityActive,SpaceTemp,SupplyAirPress,SupplyAirPressSetpoint,SupplyAirTemp,SupplyAirTempSetpoint,SupplyFanSpeedOutput
20161217131500,46.735001,70.775879,65.163498,65.165001,37.594603,49.706841,74.970306,1.140104,1.2,55.348335,55.0,81.885002
20161217133000,46.735001,70.685867,65.163498,65.165001,37.662144,49.737358,75.006302,1.124047,1.2,55.348335,55.0,81.885002
20161217134500,46.735001,70.685867,65.400063,65.400002,37.445632,49.188042,75.276337,1.103974,1.2,55.348335,55.0,82.010002
20161217140000,48.314999,70.685867,65.400063,65.400002,37.84792,49.096489,75.47435,1.140104,1.2,55.186317,55.0,82.010002
20161217141500,48.314999,70.685867,65.400063,65.400002,37.84792,48.882866,75.528351,1.128061,1.2,55.024303,55.0,82.010002
20161217143000,48.314999,70.775879,65.400063,65.400002,37.76156,48.69976,75.636368,1.107989,1.2,55.186317,55.0,82.010002
20161217144500,48.314999,70.685867,65.628906,65.629997,38.049064,48.45562,75.636368,1.120032,1.2,55.024303,55.0,82.125
20161217150000,48.314999,70.685867,65.628906,65.629997,37.982016,48.516655,75.798386,1.124047,1.2,55.186317,55.0,82.125
20161217151500,48.314999,70.595863,65.628906,65.629997,37.982016,48.333549,75.960403,1.120032,1.2,55.150314,55.0,82.125
20161217153000,48.314999,70.595863,65.628906,65.629997,37.713824,48.150444,75.960403,1.112003,1.2,55.150314,55.0,82.125
20161217154500,48.314999,70.325836,65.628906,65.629997,37.662144,47.814758,76.122414,1.107989,1.2,55.024303,55.0,82.125
20161217160000,48.314999,70.325836,66.338615,66.339996,37.810622,47.509583,76.122414,1.128061,1.2,55.150314,55.0,82.495003
20161217161500,48.314999,70.325836,66.338615,66.339996,37.674554,47.5401,76.158417,1.112003,1.2,55.024303,55.0,82.495003
20161217163000,48.314999,70.415848,66.338615,66.339996,37.478425,47.479065,76.19442,1.120032,1.2,55.024303,55.0,82.495003
20161217164500,48.314999,70.055801,66.338615,66.339996,37.3454,46.960266,76.284431,1.128061,1.2,54.9883,55.0,82.495003
20161217170000,48.314999,69.857788,66.338615,66.339996,37.20736,47.051819,76.248428,1.124047,1.2,54.898293,55.0,82.495003
20161217171500,48.314999,70.055801,69.267181,69.264999,37.276958,47.143372,76.284431,1.103974,1.2,55.024303,55.0,84.019997
20161217173000,48.314999,70.055801,69.267181,69.264999,37.276958,46.319397,76.284431,1.107989,1.2,55.47435,55.0,84.019997
20161217174500,50.134998,70.145813,69.267181,69.264999,36.854542,46.258362,76.284431,1.164191,1.2,54.700272,55.0,84.019997
20161217180000,45.404999,69.9478,69.267181,69.264999,36.854542,46.380432,76.284431,1.200321,1.2,55.186317,55.0,84.019997
20161217181500,49.834999,69.857788,69.267181,69.264999,36.987244,46.288879,76.248428,1.236451,1.2,55.348335,55.0,84.019997
20161217183000,44.990002,69.9478,68.265976,68.264999,36.846246,46.258362,76.284431,1.284625,1.2,55.186317,55.0,83.5
20161217184500,44.990002,69.9478,68.265976,68.264999,36.705248,46.288879,76.284431,1.264552,1.2,55.312332,55.0,83.5
20161217190000,44.990002,69.677765,68.265976,68.264999,36.764,46.197327,76.248428,1.236451,1.2,55.150314,55.0,83.5
20161217191500,44.990002,69.857788,68.265976,68.264999,36.764,46.349915,76.284431,1.228422,1.2,55.240326,55.0,83.5
20161217193000,44.990002,69.9478,66.433586,66.434998,36.622016,46.227844,76.392441,1.296668,1.2,55.024303,55.0,82.544998
20161217194500,44.990002,69.677765,66.433586,66.434998,36.551024,46.349915,76.392441,1.276596,1.2,54.898293,55.0,82.544998
20161217200000,44.990002,69.497757,66.433586,66.434998,36.40904,46.044739,76.446449,1.276596,1.2,54.9883,55.0,82.544998
20161217201500,44.990002,69.497757,65.698128,65.699997,36.40904,45.770081,76.122414,1.200321,1.2,54.736275,55.0,82.165001
20161217203000,44.990002,69.767776,65.698128,65.699997,36.320385,44.763008,75.600357,1.236451,1.2,54.736275,55.0,82.165001
20161217204500,53.595001,69.767776,65.698128,65.699997,36.320385,44.763008,75.47435,1.248495,1.2,56.284431,55.0,82.165001
20161217210000,69.714996,69.497757,65.698128,65.699997,36.10593,45.525948,75.47435,1.24448,1.2,54.790279,55.0,82.165001
20161217211500,44.935001,69.497757,65.698128,65.699997,,46.014221,75.564362,1.168205,1.2,55.114311,55.0,82.165001
20161217213000,44.935001,69.317734,65.698128,65.699997,36.10593,45.800598,75.798386,1.144119,1.2,55.024303,55.0,82.165001
20161217214500,44.935001,69.227722,65.698128,65.699997,36.10593,45.983704,75.924393,1.152148,1.2,54.502251,55.0,82.165001
20161217220000,44.165001,69.317734,65.698128,65.699997,36.10593,45.709045,76.086411,1.13609,1.2,54.9883,55.0,82.165001
