PropertyTimestampInNumber,CoolOutputPercent,MixedAirTemp,OutdoorAirDamperMinPositionActive,OutdoorAirDamperOutput,OutdoorAirEnthalpyReference,SpaceRelativeHumidityActive,SupplyAirPress,SupplyAirTemp,SupplyAirTempSetpoint,SupplyFanSpeedOutput
20160102073000,0.0,63.4671,15.0,15.0,15.8904,25.0182,1.5134,55.7984,56.0,60.645
20160102074500,0.0,63.4671,15.0,15.0,15.8904,24.652,1.5175,54.9523,56.0,60.645
20160102080000,0.0,63.4671,15.0,15.0,15.8904,24.652,1.5134,55.7984,56.0,60.645
20160102081500,0.0,63.4671,15.0,15.0,15.9342,24.652,1.5175,55.1503,56.0,60.645
20160102083000,0.0,63.4671,15.0,15.0,15.8218,24.3163,1.5175,55.1503,56.0,60.645
20160102084500,0.0,63.4671,15.0,15.0,15.6417,24.3163,1.5175,55.1503,56.0,60.645
20160102090000,0.0,63.4671,15.0,15.0,15.7532,24.3163,1.5215,55.1503,56.0,60.645
20160102091500,0.0,63.4671,15.0,15.0,15.8646,24.3163,1.5175,55.1503,56.0,60.645
20160102093000,0.0,63.4671,15.0,15.0,16.0317,24.3163,1.5496,55.7984,56.0,60.645
20160102094500,0.0,64.8353,15.0,15.0,16.1431,24.0721,1.5496,55.7984,56.0,60.645
20160102100000,0.0,64.8353,15.0,15.0,16.2919,24.0721,1.5536,55.7984,56.0,60.645
20160102101500,0.0,64.8353,15.0,15.0,16.1439,23.767,1.5576,55.7984,56.0,60.645
20160102103000,0.0,64.8353,15.0,15.0,16.2726,23.767,1.5576,55.7984,56.0,60.645
20160102104500,0.715,64.8353,15.0,15.0,16.3821,23.767,1.5496,55.7984,56.0,60.645
20160102110000,0.0,64.8353,15.0,15.0,16.6009,23.4313,1.5496,55.7984,56.0,60.645
20160102111500,0.0,64.8353,15.0,15.0,16.7946,23.4313,1.5576,55.7984,56.0,60.645
20160102113000,0.0,64.8353,15.0,15.0,16.7946,23.4313,1.5616,55.7984,56.0,60.645
20160102114500,0.0,64.8353,15.0,15.0,16.7147,23.4313,1.5616,54.8263,56.0,60.645
20160102120000,2.615,64.8353,15.0,15.0,16.8477,23.4313,1.4051,56.5005,56.0,61.35
20160102121500,40.26,64.8353,15.0,15.0,16.9542,23.4313,1.4653,56.5005,56.0,61.35
20160102123000,10.07,64.8353,15.0,15.0,17.0295,23.4313,1.5857,55.1863,56.0,61.35
20160102124500,0.0,64.8353,15.0,15.0,17.135,23.4313,1.4974,55.1863,56.0,61.35
20160102130000,0.715,64.8353,15.0,15.0,17.135,23.4313,1.5857,55.9244,56.0,61.35
20160102131500,0.715,65.7534,15.0,15.0,17.2405,23.4313,1.5616,55.9244,56.0,60.375
20160102133000,13.87,65.7534,15.0,15.0,17.3988,23.4313,1.5697,55.9244,56.0,60.375
20160102134500,14.585,65.7534,15.0,15.0,17.3109,23.4313,1.5576,55.9244,56.0,60.375
20160102140000,14.585,65.7534,15.0,15.0,17.4155,23.4313,1.5656,55.9244,56.0,60.375
20160102141500,24.18,65.7534,15.0,15.0,17.52,23.4313,1.5616,55.9244,56.0,60.375
20160102143000,6.59,65.7534,15.0,15.0,17.729,23.4313,1.5656,55.9244,56.0,60.375
20160102144500,6.59,65.7534,15.0,15.0,17.7813,23.4313,1.5656,55.9244,56.0,60.375
20160102150000,27.285,65.7534,15.0,15.0,17.689,23.4313,1.4051,56.7885,56.0,62.725
20160102151500,3.545,64.8353,15.0,15.0,17.6992,23.4313,1.4332,56.7885,56.0,65.675
20160102153000,11.995,64.8353,15.0,15.0,17.8735,23.4313,1.5054,56.7885,56.0,64.285
20160102154500,27.1,63.9172,15.0,15.0,18.0581,23.4313,1.4452,55.8884,56.0,64.285
20160102160000,27.1,63.9172,15.0,15.0,18.4615,23.4313,1.5415,55.8884,56.0,64.285
20160102161500,7.35,63.9172,15.0,15.0,18.4272,23.4313,1.5576,55.8884,56.0,61.62
20160102163000,0.0,63.9172,15.0,15.0,18.2195,23.889,1.4813,54.8263,56.0,61.62
20160102164500,0.0,63.9172,15.0,15.0,18.0741,23.889,1.5014,54.8263,56.0,61.62
20160102170000,0.0,63.9172,15.0,15.0,18.1149,24.3163,1.5295,54.8263,56.0,61.62
20160102171500,0.0,63.9172,15.0,15.0,18.0765,24.713,1.4211,54.8263,56.0,61.62
20160102173000,0.0,63.1971,15.0,15.0,18.1171,24.713,1.5817,54.8263,56.0,61.62
20160102174500,0.0,63.1971,15.0,15.0,18.0738,24.713,1.4131,54.8263,56.0,62.465
20160102180000,0.0,63.1971,15.0,15.0,17.9496,25.1403,1.5576,54.8263,56.0,61.25
20160102181500,0.0,63.1971,15.0,15.0,17.9496,25.1403,1.5656,54.8263,56.0,61.25
20160102183000,0.0,63.1971,15.0,15.0,18.3223,25.4454,1.5697,54.8263,56.0,61.25
20160102184500,0.0,63.1971,15.0,15.0,18.3223,25.4454,1.5697,54.8263,56.0,61.25
20160102190000,0.0,63.1971,15.0,15.0,18.2807,25.7201,1.5737,54.8263,56.0,61.25
20160102191500,0.0,63.1971,15.0,15.0,18.2807,25.7201,1.5737,54.8263,56.0,61.25
20160102193000,0.0,63.1971,15.0,15.0,18.2807,26.1778,1.5656,54.8263,56.0,61.25
20160102194500,0.0,63.1971,15.0,15.0,18.3418,26.1778,1.5737,54.8263,56.0,61.25
20160102200000,0.0,63.1971,15.0,15.0,18.2953,26.1778,1.5737,54.8263,56.0,61.25
20160102201500,0.0,63.1971,15.0,15.0,18.4156,26.1778,1.5737,54.8263,56.0,61.25
20160102203000,0.0,63.1971,15.0,15.0,18.2953,26.1778,1.5777,54.8263,56.0,61.25
20160102204500,0.0,63.1971,15.0,15.0,18.2109,26.483,1.5656,54.8263,56.0,61.25
20160102210000,0.0,63.1971,15.0,15.0,18.1266,26.483,1.5697,54.8263,56.0,61.25
20160102211500,0.0,63.1971,15.0,15.0,18.1266,26.483,1.5656,54.8263,56.0,61.25
20160102213000,0.0,63.1971,15.0,15.0,18.1595,26.483,1.5737,54.8263,56.0,61.25
20160102214500,0.0,63.1971,15.0,15.0,18.1595,26.483,1.5737,54.8263,56.0,61.25
20160102220000,0.0,63.1971,15.0,15.0,17.9248,26.483,1.5737,54.8263,56.0,61.25
20160102221500,0.0,63.1971,15.0,15.0,18.0082,26.483,1.5777,54.8263,56.0,61.25
20160102223000,0.0,63.1971,15.0,15.0,18.0916,26.483,1.5737,54.8263,56.0,61.25
20160102224500,0.0,63.1971,15.0,15.0,17.9248,26.483,1.5656,54.8263,56.0,61.25
20160102230000,0.0,63.1971,15.0,15.0,18.2195,26.483,1.5737,54.8263,56.0,61.25
20160102231500,0.0,63.1971,15.0,15.0,18.1321,26.483,1.5737,54.8263,56.0,61.25
20160102233000,0.0,63.1971,15.0,15.0,18.1893,26.483,1.5737,54.8263,56.0,61.25
20160102234500,0.0,63.1971,15.0,15.0,18.1893,26.483,1.5777,54.8263,56.0,61.25
20160103000000,0.0,63.1971,15.0,15.0,18.2195,26.483,1.5737,54.8263,56.0,61.25
20160103001500,0.0,63.1971,15.0,15.0,18.1321,26.483,1.5737,55.5104,56.0,61.25
20160103003000,0.0,63.1971,15.0,15.0,17.9574,26.483,1.5737,55.5104,56.0,61.25
20160103004500,0.0,63.1971,15.0,15.0,17.845,26.483,1.5777,55.5104,56.0,61.25
20160103010000,0.0,63.1971,15.0,15.0,17.845,26.1778,1.5817,55.5104,56.0,61.25
20160103011500,0.0,63.1971,15.0,15.0,17.845,26.1778,1.5737,55.5104,56.0,61.25
20160103013000,0.0,63.1971,15.0,15.0,17.9314,26.1778,1.5777,55.5104,56.0,61.25
20160103014500,0.0,63.1971,15.0,15.0,17.818,26.1778,1.5817,55.5104,56.0,61.25
20160103020000,0.0,63.1971,15.0,15.0,17.6202,25.8727,1.5737,55.5104,56.0,61.25
