PropertyTimestampInNumber,CoolOutputPercent,MixedAirTemp,OutdoorAirDamperMinPositionActive,OutdoorAirDamperOutput,OutdoorAirEnthalpyReference,SupplyAirPress,SupplyAirPressSetpoint,SupplyAirTemp,SupplyAirTempSetpoint,SupplyFanSpeedOutput
20160102070000,0.0,59.0027,15.0,15.0,16.0038,1.4653,1.5,55.6004,56.0,76.505
20160102071500,0.0,58.2826,15.0,15.0,16.0038,1.4733,1.5,54.7903,56.0,76.505
20160102073000,0.0,59.7408,15.0,15.0,15.8904,1.4653,1.5,55.8524,56.0,76.505
20160102074500,0.0,58.5527,15.0,15.0,15.8904,1.4813,1.5,54.8623,56.0,76.505
20160102080000,0.0,59.3627,15.0,15.0,15.8904,1.4733,1.5,55.6904,56.0,76.505
20160102081500,0.0,59.3627,15.0,15.0,15.9342,1.4813,1.5,55.6904,56.0,76.505
20160102083000,0.0,58.5527,15.0,15.0,15.8218,1.4733,1.5,55.6904,56.0,76.505
20160102084500,0.0,59.1827,15.0,15.0,15.6417,1.4813,1.5,55.6904,56.0,76.505
20160102090000,0.0,59.1827,15.0,15.0,15.7532,1.4813,1.5,55.6904,56.0,76.505
20160102091500,0.0,58.4626,15.0,15.0,15.8646,1.4813,1.5,55.6904,56.0,76.505
20160102093000,0.0,59.2727,15.0,15.0,16.0317,1.4773,1.5,55.6904,56.0,76.505
20160102094500,0.0,59.2727,15.0,15.0,16.1431,1.4813,1.5,55.6904,56.0,76.505
20160102100000,0.0,59.2727,15.0,15.0,16.2919,1.4733,1.5,55.6904,56.0,76.505
20160102101500,0.0,59.2727,15.0,15.0,16.1439,1.4653,1.5,55.6904,56.0,76.505
20160102103000,0.0,58.0126,15.0,15.0,16.2726,1.5335,1.5,54.9883,56.0,76.505
20160102104500,0.0,59.1827,15.0,15.0,16.3821,1.5335,1.5,56.0504,56.0,76.505
20160102110000,0.0,59.1827,15.0,15.0,16.6009,1.5255,1.5,55.4023,56.0,76.505
20160102111500,0.0,59.1827,15.0,15.0,16.7946,1.5295,1.5,55.4023,56.0,76.505
20160102113000,0.0,59.1827,15.0,15.0,16.7946,1.5255,1.5,55.4023,56.0,76.505
20160102114500,0.0,58.1026,15.0,15.0,16.7147,1.5295,1.5,54.7003,56.0,76.505
20160102120000,0.0,59.1827,15.0,15.0,16.8477,1.5415,1.5,55.8524,56.0,76.505
20160102121500,4.875,59.1827,15.0,15.0,16.9542,1.5175,1.5,55.8524,56.0,76.505
20160102123000,3.535,59.9208,15.0,15.0,17.0295,1.5255,1.5,55.8524,56.0,76.505
20160102124500,0.0,58.5527,15.0,15.0,17.135,1.5215,1.5,55.8524,56.0,76.505
20160102130000,0.0,59.2727,15.0,15.0,17.135,1.5295,1.5,55.8524,56.0,76.505
20160102131500,0.0,59.2727,15.0,15.0,17.2405,1.5295,1.5,55.8524,56.0,76.505
20160102133000,7.29,57.4545,15.0,15.0,17.3988,1.5295,1.5,55.1503,56.0,76.505
20160102134500,0.0,59.9208,15.0,15.0,17.3109,1.5134,1.5,56.2124,56.0,76.505
20160102140000,0.0,58.6427,15.0,15.0,17.4155,1.5255,1.5,55.4743,56.0,76.505
20160102141500,5.01,59.9208,15.0,15.0,17.52,1.5255,1.5,56.5005,56.0,76.505
20160102143000,0.0,58.6427,15.0,15.0,17.729,1.5295,1.5,55.2763,56.0,76.505
20160102144500,2.58,59.9208,15.0,15.0,17.7813,1.5134,1.5,56.4464,56.0,76.505
20160102150000,1.18,59.9208,15.0,15.0,17.689,1.5054,1.5,56.4464,56.0,76.505
20160102151500,16.02,59.0927,15.0,15.0,17.6992,1.5054,1.5,55.7624,56.0,76.505
20160102153000,0.0,59.0927,15.0,15.0,17.8735,1.5215,1.5,55.7624,56.0,76.505
20160102154500,0.0,59.0927,15.0,15.0,18.0581,1.5054,1.5,55.7624,56.0,76.505
20160102160000,0.0,59.0927,15.0,15.0,18.4615,1.5175,1.5,55.7624,56.0,76.505
20160102161500,0.0,59.0927,15.0,15.0,18.4272,1.5054,1.5,55.7624,56.0,76.505
20160102163000,0.0,59.0927,15.0,15.0,18.2195,1.5054,1.5,55.7624,56.0,76.505
20160102164500,0.0,59.0927,15.0,15.0,18.0741,1.5134,1.5,55.7624,56.0,76.505
20160102170000,0.0,59.0927,15.0,15.0,18.1149,1.5054,1.5,55.7624,56.0,76.505
20160102171500,0.0,59.0927,15.0,15.0,18.0765,1.5054,1.5,55.7624,56.0,76.505
20160102173000,0.0,59.0927,15.0,15.0,18.1171,1.5014,1.5,55.7624,56.0,76.505
20160102174500,0.0,59.0927,15.0,15.0,18.0738,1.5014,1.5,55.7624,56.0,76.505
20160102180000,0.0,59.0927,15.0,15.0,17.9496,1.5054,1.5,55.7624,56.0,76.505
20160102181500,0.0,59.0927,15.0,15.0,17.9496,1.5054,1.5,55.0243,56.0,76.505
20160102183000,0.0,59.0927,15.0,15.0,18.3223,1.5054,1.5,55.9604,56.0,76.505
20160102184500,0.0,59.0927,15.0,15.0,18.3223,1.5054,1.5,55.2403,56.0,76.505
20160102190000,0.0,59.0927,15.0,15.0,18.2807,1.5014,1.5,55.9244,56.0,76.505
20160102191500,0.0,59.0927,15.0,15.0,18.2807,1.4974,1.5,55.9244,56.0,76.505
20160102193000,0.0,59.0927,15.0,15.0,18.2807,1.5014,1.5,55.2763,56.0,76.505
20160102194500,0.0,59.0927,15.0,15.0,18.3418,1.4974,1.5,55.2763,56.0,76.505
20160102200000,0.0,59.0927,15.0,15.0,18.2953,1.5014,1.5,55.2763,56.0,76.505
20160102201500,0.0,59.0927,15.0,15.0,18.4156,1.5134,1.5,55.2763,56.0,76.505
20160102203000,0.0,59.0927,15.0,15.0,18.2953,1.4974,1.5,55.2763,56.0,76.505
20160102204500,0.0,59.0927,15.0,15.0,18.2109,1.4934,1.5,56.0504,56.0,76.505
20160102210000,0.0,59.0927,15.0,15.0,18.1266,1.5134,1.5,56.0504,56.0,76.505
20160102211500,0.0,59.0927,15.0,15.0,18.1266,1.5054,1.5,56.0504,56.0,76.505
20160102213000,0.0,59.0927,15.0,15.0,18.1595,1.4291,1.5,56.0504,56.0,76.505
20160102214500,0.0,58.3726,15.0,15.0,18.1595,1.4332,1.5,55.1863,56.0,76.505
20160102220000,0.0,59.6508,15.0,15.0,17.9248,1.4251,1.5,56.1224,56.0,76.505
20160102221500,0.0,59.6508,15.0,15.0,18.0082,1.4291,1.5,56.1224,56.0,76.505
20160102223000,0.0,58.9127,15.0,15.0,18.0916,1.4291,1.5,55.4743,56.0,76.505
20160102224500,0.0,58.9127,15.0,15.0,17.9248,1.4251,1.5,55.4743,56.0,76.505
20160102230000,0.0,58.9127,15.0,15.0,18.2195,1.4291,1.5,55.4743,56.0,76.505
20160102231500,0.0,58.9127,15.0,15.0,18.1321,1.4291,1.5,55.4743,56.0,76.505
20160102233000,0.0,59.5608,15.0,15.0,18.1893,1.4211,1.5,55.4743,56.0,76.505
20160102234500,0.0,59.5608,15.0,15.0,18.1893,1.4171,1.5,55.4743,56.0,76.505
20160103000000,0.0,58.9127,15.0,15.0,18.2195,1.4131,1.5,55.4743,56.0,76.505
20160103001500,0.0,59.6508,15.0,15.0,18.1321,1.4131,1.5,56.1764,56.0,76.505
20160103003000,0.0,59.6508,15.0,15.0,17.9574,1.4131,1.5,56.1764,56.0,76.505
20160103004500,0.085,58.7327,15.0,15.0,17.845,1.4251,1.5,55.4023,56.0,76.505
20160103010000,0.0,60.1008,15.0,15.0,17.845,1.4171,1.5,56.3384,56.0,76.505
20160103011500,0.0,60.1008,15.0,15.0,17.845,1.4171,1.5,56.3384,56.0,76.505
20160103013000,0.0,58.9127,15.0,15.0,17.9314,1.4492,1.5,55.5644,56.0,77.51
20160103014500,0.0,59.6508,15.0,15.0,17.818,1.4492,1.5,56.1224,56.0,77.51
20160103020000,0.0,59.6508,15.0,15.0,17.6202,1.4452,1.5,56.1224,56.0,77.51
20160103021500,0.0,58.9127,15.0,15.0,17.7326,1.4372,1.5,55.4383,56.0,77.51
20160103023000,0.0,58.9127,15.0,15.0,17.6202,1.4412,1.5,55.4383,56.0,77.51
20160103024500,0.0,58.9127,15.0,15.0,17.7326,1.4492,1.5,55.4383,56.0,77.51
20160103030000,0.0,58.9127,15.0,15.0,17.5912,1.4532,1.5,55.4383,56.0,77.51
20160103031500,0.0,58.9127,15.0,15.0,17.7326,1.4412,1.5,55.4383,56.0,77.51
20160103033000,0.12,59.7408,15.0,15.0,17.7326,1.4452,1.5,56.0504,56.0,77.51
20160103034500,0.0,59.7408,15.0,15.0,17.7326,1.4452,1.5,56.0504,56.0,77.51
20160103040000,0.0,59.0027,15.0,15.0,17.7326,1.4492,1.5,56.0504,56.0,77.51
20160103041500,0.0,59.0027,15.0,15.0,17.6202,1.4452,1.5,56.0504,56.0,77.51
20160103043000,0.0,59.0027,15.0,15.0,17.5345,1.4532,1.5,56.0504,56.0,77.51
20160103044500,0.0,59.0027,15.0,15.0,17.6174,1.4492,1.5,56.0504,56.0,77.51
20160103050000,0.0,59.0027,15.0,15.0,17.585,1.4492,1.5,56.0504,56.0,77.51
20160103051500,0.0,58.0126,15.0,15.0,17.4696,1.4492,1.5,56.0504,56.0,77.51
20160103053000,0.0,59.0927,15.0,15.0,17.5506,1.4452,1.5,56.0504,56.0,77.51
20160103054500,0.0,59.0927,15.0,15.0,17.4342,1.4532,1.5,56.0504,56.0,77.51
20160103060000,0.0,59.7408,15.0,15.0,17.585,1.4532,1.5,56.0504,56.0,77.51
20160103061500,0.0,58.7327,15.0,15.0,17.5506,1.4653,1.5,55.3483,56.0,77.51
20160103063000,0.0,59.7408,15.0,15.0,17.5506,1.4693,1.5,56.1764,56.0,77.51
20160103064500,0.0,59.7408,15.0,15.0,17.6315,1.4452,1.5,56.1764,56.0,77.51
20160103070000,0.0,58.8227,15.0,15.0,17.6315,1.4492,1.5,55.4023,56.0,77.51
20160103071500,0.0,59.6508,15.0,15.0,17.5941,1.4532,1.5,56.0144,56.0,77.51
20160103073000,0.0,59.6508,15.0,15.0,17.4951,1.4613,1.5,56.0144,56.0,77.51
20160103074500,3.22,59.6508,15.0,15.0,17.5548,1.4613,1.5,56.0144,56.0,77.51
20160103080000,0.0,59.6508,15.0,15.0,17.6741,1.4532,1.5,56.0144,56.0,77.51
20160103081500,4.315,59.0027,15.0,15.0,17.5941,1.4613,1.5,56.0144,56.0,77.51
20160103083000,3.79,60.3708,15.0,15.0,17.5941,1.4532,1.5,56.0144,56.0,77.51
20160103084500,15.76,59.3627,15.0,15.0,17.6315,1.4572,1.5,56.0144,56.0,77.51
20160103090000,0.0,59.3627,15.0,15.0,17.7124,1.4532,1.5,55.3483,56.0,77.51
20160103091500,0.86,59.3627,15.0,15.0,18.1149,1.4572,1.5,56.3384,56.0,77.51
