PropertyTimestampInNumber,CoolOutputPercent,MixedAirTemp,OutdoorAirDamperMinPositionActive,OutdoorAirEnthalpyReference,SupplyAirPress,SupplyAirPressSetpoint,SupplyAirTemp,SupplyAirTempSetpoint,SupplyFanSpeedOutput
20160103081500,42.62,61.2889,15.0,17.5941,1.5456,1.5,59.2907,56.0,68.085
20160103083000,25.55,61.2889,15.0,17.5941,1.5777,1.5,53.5122,56.0,68.085
20160103084500,38.595,61.2889,15.0,17.6315,1.5656,1.5,58.3186,56.0,67.065
20160103090000,40.945,61.2889,15.0,17.7124,1.5415,1.5,55.1503,56.0,67.065
20160103091500,14.205,61.2889,15.0,18.1149,1.5737,1.5,53.6382,56.0,67.065
20160103093000,49.575,61.2889,15.0,18.2449,1.5576,1.5,58.7687,56.0,67.065
20160103094500,10.875,61.919,15.0,18.4815,1.5656,1.5,53.4762,56.0,67.065
20160103100000,45.32,61.919,15.0,18.6232,1.5697,1.5,58.3186,56.0,67.065
20160103101500,34.94,62.6571,15.0,18.8304,1.5295,1.5,54.3762,56.0,67.065
20160103103000,29.38,62.6571,15.0,18.9117,1.5295,1.5,54.3762,56.0,67.065
20160103104500,19.215,62.6571,15.0,18.9328,1.5014,1.5,55.3483,56.0,67.065
20160103110000,21.235,62.6571,15.0,18.65,1.5014,1.5,56.9505,56.0,67.065
20160103111500,41.935,63.3771,15.0,18.65,1.4613,1.5,57.6346,56.0,67.065
20160103113000,33.065,63.3771,15.0,18.5842,1.4211,1.5,57.6346,56.0,67.065
20160103114500,40.425,63.3771,15.0,18.445,1.401,1.5,57.6346,56.0,68.685
20160103120000,36.15,64.1152,15.0,18.4538,1.4372,1.5,57.6346,56.0,68.685
20160103121500,35.345,64.1152,15.0,18.5593,1.4291,1.5,55.1503,56.0,68.685
20160103123000,40.765,64.1152,15.0,18.7703,1.4131,1.5,56.0144,56.0,68.685
20160103124500,37.055,64.1152,15.0,18.9286,1.4332,1.5,56.0144,56.0,68.685
20160103130000,38.49,64.8353,15.0,19.0341,1.4131,1.5,56.0144,56.0,68.685
20160103131500,38.49,64.8353,15.0,19.3502,1.4291,1.5,56.0144,56.0,68.685
20160103133000,44.365,64.8353,15.0,19.5058,1.4091,1.5,56.0144,56.0,68.685
20160103134500,26.82,64.8353,15.0,19.6103,1.4211,1.5,56.0144,56.0,68.685
20160103140000,39.375,65.6634,15.0,19.7596,1.4051,1.5,56.0144,56.0,68.685
20160103141500,39.375,65.6634,15.0,19.9761,1.4091,1.5,56.0144,56.0,68.685
20160103143000,42.315,65.6634,15.0,19.9666,1.4251,1.5,56.0144,56.0,68.685
20160103144500,42.315,65.6634,15.0,20.0806,1.4091,1.5,56.0144,56.0,68.685
20160103150000,24.82,65.6634,15.0,20.4464,1.4211,1.5,54.9883,56.0,68.685
20160103151500,47.7,65.6634,15.0,20.3654,1.4051,1.5,55.9244,56.0,68.685
20160103153000,45.44,65.6634,15.0,20.3481,1.4332,1.5,55.9244,56.0,68.685
20160103154500,28.605,65.6634,15.0,20.4496,1.4251,1.5,55.9244,56.0,68.685
20160103160000,28.605,65.6634,15.0,20.4496,1.4372,1.5,55.9244,56.0,68.685
20160103161500,28.605,65.6634,15.0,20.5512,1.4211,1.5,55.9244,56.0,68.685
20160103163000,28.605,65.6634,15.0,20.6527,1.4131,1.5,55.9244,56.0,68.685
20160103164500,28.605,65.6634,15.0,20.673,1.4251,1.5,55.9244,56.0,68.685
20160103170000,41.25,65.6634,15.0,20.4293,1.4131,1.5,55.9244,56.0,68.685
20160103171500,41.25,65.6634,15.0,20.3654,1.4091,1.5,55.9244,56.0,68.685
20160103173000,44.695,64.8353,15.0,20.1946,1.4131,1.5,55.9244,56.0,68.685
20160103174500,42.885,64.0072,15.0,19.9891,1.4291,1.5,55.9244,56.0,68.685
20160103180000,26.6,64.0072,15.0,19.7202,1.4171,1.5,55.9244,56.0,68.685
20160103181500,26.6,64.0072,15.0,19.4465,1.4291,1.5,55.9244,56.0,68.685
20160103183000,41.52,64.0072,15.0,18.9423,1.4251,1.5,55.9244,56.0,68.685
20160103184500,26.035,64.0072,15.0,18.8319,1.4131,1.5,55.9244,56.0,68.685
20160103190000,26.035,63.2871,15.0,18.6662,1.4131,1.5,55.9244,56.0,68.685
20160103191500,28.245,63.2871,15.0,18.65,1.4171,1.5,55.1863,56.0,68.685
20160103193000,41.57,63.2871,15.0,18.5195,1.4091,1.5,56.3384,56.0,68.685
20160103194500,27.58,62.189,15.0,18.4417,1.4291,1.5,56.3384,56.0,68.685
20160103200000,31.265,62.189,15.0,18.2149,1.4332,1.5,54.8263,56.0,68.685
20160103201500,44.96,62.189,15.0,18.2772,1.4291,1.5,56.3384,56.0,69.69
20160103203000,30.06,62.189,15.0,18.1041,1.4492,1.5,57.0585,56.0,69.69
20160103204500,17.555,61.0909,15.0,17.9888,1.4733,1.5,54.7003,56.0,69.69
20160103210000,33.955,61.0909,15.0,17.7004,1.4452,1.5,54.7003,56.0,69.69
20160103211500,36.415,61.0909,15.0,17.5506,1.4613,1.5,57.4725,56.0,69.69
20160103213000,20.985,61.0909,15.0,17.3179,1.4572,1.5,55.8884,56.0,69.69
20160103214500,43.64,61.0909,15.0,17.1433,1.4532,1.5,57.3105,56.0,69.69
20160103220000,30.615,61.0909,15.0,16.8688,1.4813,1.5,57.3105,56.0,69.69
20160103221500,44.88,60.1008,15.0,16.8842,1.5094,1.5,58.3906,56.0,69.69
20160103223000,43.955,60.1008,15.0,16.5292,1.5496,1.5,56.3384,56.0,69.69
20160103224500,16.385,60.1008,15.0,16.6003,1.5857,1.5,54.2142,56.0,69.69
20160103230000,12.48,60.1008,15.0,16.481,1.5737,1.5,56.2484,56.0,68.605
20160103231500,41.62,60.1008,15.0,16.3021,1.5737,1.5,55.4743,56.0,67.105
