OutdoorAirEnthalpyReference,SpaceRelativeHumidityActive,SpaceTemp,SupplyAirPress,SupplyAirTemp,SupplyAirTempSetpoint,SupplyFanSpeedOutput
13.9109,29.9315,67.6976,1.7704,50.1098,56.0,80.495
13.7985,29.9315,67.6976,1.7664,50.8479,56.0,80.495
13.5737,29.9315,67.6976,1.7704,49.6058,56.0,80.495
13.4613,29.9315,67.6976,1.7744,49.6058,56.0,80.495
13.4525,29.5653,67.6976,1.7744,50.3618,56.0,80.495
13.2257,29.5653,67.6976,1.7664,50.3618,56.0,80.495
13.1568,29.5653,67.6976,1.7704,50.3618,56.0,80.495
13.1568,29.5653,67.6976,1.7704,50.3618,56.0,80.495
13.0282,29.2296,67.6976,1.7784,50.3618,56.0,80.495
12.9128,28.8024,67.6976,1.7824,49.8578,56.0,80.495
12.7975,28.8024,67.6976,1.7864,49.8578,56.0,80.495
12.8385,28.8024,67.6976,1.7463,49.8578,56.0,80.495
12.7221,28.8024,67.6976,1.6821,50.5239,56.0,80.495
12.6058,28.8024,67.6976,1.666,50.5239,56.0,80.495
12.6448,29.1381,67.6976,1.67,49.8938,56.0,80.495
12.7621,29.1381,67.6976,1.67,50.8479,56.0,80.495
12.9968,28.8329,67.6976,1.658,50.8479,56.0,80.495
13.1141,28.8329,67.6976,1.6379,50.8479,56.0,80.495
13.2901,28.8329,67.6976,1.6259,51.856,56.0,80.495
