MixedAirTemp,OutdoorAirEnthalpyReference,SpaceRelativeHumidityActive,SupplyAirPress,SupplyAirTemp,SupplyFanSpeedOutput
62.189,15.9577,25.0792,1.4693,53.8362,60.735
62.189,16.08,25.0792,1.4733,53.8362,60.735
63.5572,16.2068,25.0792,1.4693,54.6643,60.735
64.2052,16.3856,25.0792,1.4653,54.6643,60.735
64.2052,16.6302,25.0792,1.4532,55.7264,60.735
64.2052,16.7917,25.4454,1.4572,55.0603,60.735
64.2052,16.8842,25.4454,1.4332,55.0603,60.735
64.2052,17.2208,25.1403,1.4171,55.0603,60.735
65.1053,17.1599,25.1403,1.4572,55.0603,60.735
66.0234,17.3687,25.1403,1.4653,55.7624,60.735
66.0234,17.2576,25.1403,1.5335,55.7624,60.735
66.0234,17.2576,25.1403,1.5335,55.7624,60.735
66.0234,17.3671,25.1403,1.5375,55.7624,60.735
66.0234,17.5745,25.4149,1.5295,55.7624,60.735
66.0234,17.7708,25.4149,1.5335,55.7624,60.735
67.4816,18.0723,25.4149,1.5335,56.6625,60.735
67.4816,18.3918,26.0558,1.4894,54.0522,60.735
67.4816,18.4655,26.0558,1.4532,54.0522,60.735
67.4816,18.5196,26.0558,1.4291,54.0522,60.735
67.4816,18.8755,26.0558,1.4211,54.0522,60.735
67.4816,19.0716,26.0558,1.4251,54.0522,60.735
67.4816,19.434,25.7201,1.4091,54.7363,60.735
67.4816,19.5242,25.7201,1.4332,57.1125,61.74
68.3996,19.3316,25.7201,1.4372,57.9046,61.74
68.3996,19.6601,25.2928,1.4372,53.8002,61.74
68.3996,19.9884,25.2928,1.4291,57.9586,61.74
68.3996,20.1856,25.2928,1.4332,53.5122,61.74
68.3996,19.8453,25.2928,1.4091,57.1125,61.74
68.3996,19.7244,25.2928,1.4372,56.3744,61.74
68.3996,20.0637,24.8351,1.4412,56.9865,61.74
68.3996,20.1614,24.8351,1.4452,54.3402,61.74
68.3996,20.2102,24.8351,1.4452,57.3105,61.74
68.3996,19.9635,24.8351,1.4894,54.1602,61.74
68.3996,19.8402,24.5299,1.5656,56.5005,61.74
68.3996,19.8402,24.5299,1.5415,57.1485,61.74
68.3996,19.7168,24.5299,1.5335,57.1485,61.74
67.6616,19.6982,24.5299,1.5496,53.1881,61.74
67.6616,19.7244,24.1332,1.5536,53.8722,61.74
66.9415,19.8453,24.1332,1.5496,53.8722,61.74
65.8434,19.7221,23.889,1.5415,56.3384,61.74
64.8353,19.7221,23.889,1.5415,56.3384,61.74
64.8353,19.8898,23.4618,1.5496,56.3384,61.74
64.8353,19.8405,23.4618,1.5496,56.3384,61.74
64.8353,19.4461,23.4618,1.5496,56.3384,61.74
64.8353,19.4112,23.889,1.5656,55.6364,61.74
64.8353,18.8545,23.889,1.5777,55.6364,61.74
64.8353,18.6145,23.889,1.4452,55.6364,61.74
64.8353,18.1664,23.889,1.6098,56.8245,65.96
64.8353,18.063,23.889,1.5817,55.6004,61.85
64.8353,17.8018,23.889,1.5656,55.6004,61.85
64.8353,17.7925,23.889,1.5496,55.6004,61.85
64.8353,17.7153,23.889,1.5616,55.6004,61.85
64.1152,17.5043,23.4313,1.4974,55.6004,61.85
64.1152,17.4132,23.4313,1.5857,55.6004,62.88
63.3771,17.4132,23.4313,1.5937,55.0243,62.88
63.3771,17.4996,23.4313,1.5777,55.0243,62.88
63.3771,17.4996,23.4313,1.5335,55.6364,66.855
63.3771,17.1742,23.4313,1.5857,55.6364,63.185
63.3771,17.2576,23.1871,1.4412,55.6364,63.185
63.3771,17.0908,23.1871,1.5335,55.6364,63.185
63.3771,17.0295,22.882,1.5656,55.6364,63.185
63.3771,16.8713,22.882,1.5857,55.0243,62.1
63.3771,16.7658,22.5463,1.5295,55.0243,60.935
63.3771,16.6603,22.5463,1.5255,55.0243,60.935
63.3771,16.5548,22.2716,1.5335,55.0243,60.935
63.3771,16.3965,22.2716,1.4171,55.0243,61.94
63.3771,16.291,21.9969,1.4372,55.0243,61.94
62.189,15.9745,21.7223,1.5857,53.8722,61.94
