MixedAirTemp,OutdoorAirEnthalpyReference,SupplyAirPress,SupplyAirTemp,SupplyFanSpeedOutput
69.3177,17.7127,1.4653,61.622,57.49
69.3177,17.7305,1.4733,62.252,57.49
69.3177,17.809,1.4131,61.1899,57.49
69.3177,17.809,1.4693,61.1899,57.49
69.3177,17.8875,1.4733,61.1899,57.49
69.3177,17.8875,1.4813,62.9001,57.49
69.3177,17.9496,1.4813,62.9001,57.49
69.3177,18.0738,1.4572,62.9001,56.235
69.3177,18.4465,1.4492,62.9001,56.235
69.3177,18.5087,1.4532,62.9001,56.235
69.3177,18.5087,1.5415,62.9001,54.14
68.4897,18.4253,1.3007,62.9001,52.77
68.4897,18.4253,1.3368,62.9001,52.77
68.4897,18.3636,1.3248,62.9001,52.77
68.4897,18.2404,1.3208,62.9001,52.77
68.4897,18.1981,1.3208,62.09,52.77
68.4897,18.0738,1.3167,62.09,52.77
68.4897,17.9496,1.3248,62.09,53.845
68.4897,17.8875,1.3529,62.09,53.845
68.4897,17.8875,1.3489,62.09,53.845
68.4897,17.7632,1.3569,62.09,53.845
68.4897,17.8407,1.401,62.09,54.87
68.4897,17.8407,1.4211,62.09,54.87
68.4897,17.9659,1.4131,62.09,54.87
68.6697,18.0286,1.3448,62.09,54.125
68.6697,18.1538,1.3569,61.1899,54.125
67.7516,18.1538,1.3649,61.1899,54.125
67.7516,18.279,1.3689,61.856,54.125
67.7516,18.279,1.3689,61.856,54.125
67.7516,18.5294,1.3689,61.856,54.125
67.7516,18.5294,1.3649,61.856,54.125
68.4897,18.5921,1.3448,61.856,54.125
68.4897,18.7173,1.3328,61.2259,54.125
68.4897,18.7173,1.3609,61.892,54.125
68.4897,18.7173,1.3609,61.892,54.125
68.4897,18.8017,1.3609,61.892,54.125
68.4897,18.8017,1.3689,61.892,54.125
69.5878,18.8017,1.3288,61.892,54.125
69.5878,18.9279,1.3609,61.892,54.125
70.3258,19.1404,1.3649,61.892,54.125
70.3258,19.2676,1.397,61.892,54.125
70.3258,19.7128,1.4412,61.892,55.62
70.3258,20.0308,1.4532,61.892,55.62
70.3258,20.7304,1.393,62.6121,55.62
70.3258,21.0484,1.3448,63.5302,55.62
70.3258,21.7676,1.3368,63.5302,55.62
71.0639,22.0831,1.3368,63.5302,55.62
71.0639,22.6618,1.3529,63.5302,55.62
71.0639,23.1,1.3127,63.5302,55.62
71.0639,23.7887,1.3569,64.2142,55.62
71.0639,24.0948,1.3248,64.2142,57.655
72.162,24.7607,1.397,65.4743,65.705
72.162,24.9287,1.4171,65.4743,65.705
72.162,25.717,1.385,65.4743,65.705
72.162,25.8737,1.377,65.4743,65.705
72.162,26.1143,1.381,65.4743,65.705
72.162,26.2948,1.381,65.4743,65.705
72.162,26.801,1.3328,65.4743,65.705
72.162,27.0396,1.4773,65.4743,64.61
72.162,27.3702,1.3729,65.4743,62.06
73.0801,27.382,1.4653,65.4743,62.06
73.0801,27.6215,1.3729,65.4743,59.995
73.0801,27.8522,1.4733,65.4743,59.995
73.0801,27.9685,1.3288,65.4743,59.995
73.0801,27.9097,1.4653,65.4743,59.995
73.0801,28.1365,1.4613,65.4743,59.995
73.0801,28.3066,1.4492,65.4743,59.995
73.0801,28.42,1.4693,65.4743,59.995
72.162,28.42,1.3609,65.4743,58.98
72.162,28.13,1.4693,65.4743,58.98
72.162,28.2499,1.4452,65.4743,58.98
72.162,28.0738,1.4813,65.4743,58.98
72.162,27.849,1.4813,65.4743,58.98
71.4239,27.7963,1.4813,65.4743,58.98
71.4239,27.6262,1.4733,65.4743,58.98
71.4239,27.1678,1.4733,65.4743,58.98
70.6859,26.8819,1.4773,65.4743,58.98
70.6859,26.5255,1.4332,65.4743,58.98
70.6859,26.1795,1.4332,65.4743,58.98
70.6859,25.8113,1.4211,65.4743,58.98
70.6859,25.8449,1.4332,65.4743,58.98
69.7678,25.699,1.4813,65.4743,58.98
69.7678,25.4624,1.4894,65.4743,58.98
69.7678,25.3097,1.4894,65.4743,58.98
69.7678,25.1903,1.4853,65.4743,58.98
69.7678,25.0317,1.4853,65.4743,58.98
69.7678,24.9114,1.4653,65.4743,58.03
69.7678,24.6107,1.4251,65.4743,58.03
69.7678,24.4904,1.4974,65.4743,58.03
69.7678,24.383,1.4653,65.4743,58.03
69.7678,24.2617,1.4693,65.4743,58.03
69.7678,24.0883,1.4733,65.4743,58.03
69.7678,23.966,1.4572,65.4743,58.03
69.0477,23.9099,1.4773,65.4743,58.03
69.0477,23.9099,1.4733,65.4743,58.03
69.0477,23.6644,1.4773,65.4743,58.03
69.0477,23.5402,1.4773,65.4743,58.03
69.0477,23.6009,1.4773,65.4743,58.03
69.0477,23.6009,1.4813,65.4743,58.03
69.0477,23.3505,1.4813,65.4743,58.03
69.0477,23.3505,1.4733,65.4743,58.03
69.0477,23.3452,1.4733,65.4743,58.03
69.0477,23.3452,1.4813,65.4743,58.03
69.0477,23.2189,1.4653,65.4743,58.03
69.0477,23.3378,1.4653,65.4743,58.03
69.0477,23.3378,1.4613,65.4743,58.03
69.0477,23.3378,1.4613,65.4743,58.03
69.0477,23.4567,1.4532,65.4743,58.03
69.0477,23.4567,1.4653,65.4743,58.03
69.0477,23.5756,1.4613,65.4743,58.03
69.0477,23.5756,1.4653,65.4743,58.03
69.0477,23.5756,1.4693,65.4743,58.03
69.0477,23.5756,1.4733,64.6103,58.03
