MixedAirTemp,OutdoorAirEnthalpyReference,SpaceRelativeHumidityActive,SpaceTemp,SupplyAirPress,SupplyAirTemp,SupplyFanSpeedOutput
59.0027,15.7722,29.1991,77.5266,1.2806,57.7066,65.195
59.0027,15.7132,29.1991,77.5266,1.2726,55.2403,65.195
59.0027,15.5909,29.1991,77.5266,1.2485,59.1647,65.195
59.0027,15.5905,29.1991,77.5266,1.2846,55.7984,65.195
59.0027,15.5905,29.1991,77.5266,1.2766,55.7984,65.195
59.0027,15.4673,29.1991,77.5266,1.2886,58.7147,65.195
59.0027,15.527,29.1991,77.5266,1.2846,54.8263,65.195
59.0027,15.4028,23.004,77.5266,1.2806,57.8686,65.195
59.0027,15.344,22.6378,77.5266,1.2927,57.8686,65.195
59.0027,15.2208,23.1566,77.5266,1.2565,54.7003,65.195
59.0027,15.2208,22.1801,77.5266,1.2886,58.1566,65.195
59.0027,15.1543,22.1801,77.5266,1.2806,57.3105,65.195
59.0027,15.2785,22.1801,77.5266,1.2686,56.0144,65.195
59.0027,15.2785,22.1801,77.5266,1.2846,59.0387,65.195
59.0027,15.4028,22.5157,77.5266,1.2485,55.8884,65.195
59.0027,15.6512,22.943,77.5266,1.2806,57.2205,65.195
58.1926,15.7133,22.943,77.5266,1.2846,56.0144,65.195
58.1926,15.6512,22.943,77.5266,1.2565,57.7606,65.195
58.1926,15.5867,22.943,77.5266,1.2485,57.1125,65.195
58.1926,15.4615,23.2787,77.5266,1.2043,55.7984,65.195
58.1926,15.3363,23.2787,77.5266,1.1562,58.2826,65.195
58.1926,15.2678,22.9735,77.5266,1.2204,55.3483,65.195
58.1926,15.4615,22.9735,77.5266,1.2405,58.1566,65.195
58.1926,15.8376,22.9735,77.5266,1.2244,55.8524,65.195
58.1926,15.8986,22.6378,77.5266,1.2324,54.5383,65.195
58.1926,15.9577,28.3141,77.5266,1.2365,58.6067,65.195
58.1926,15.9577,28.6803,77.5266,1.2525,54.5023,65.195
58.1926,15.9577,28.6803,77.5266,1.2726,59.5608,65.195
58.1926,15.8354,29.0465,77.5266,1.2003,55.8524,65.195
58.1926,15.9577,29.0465,77.5266,1.112,55.8524,72.81
58.8227,15.9577,29.0465,77.5266,1.112,57.9946,72.81
58.8227,16.08,23.1871,77.5266,1.112,55.3123,72.81
59.4527,16.2068,23.1871,77.5266,1.1,57.0225,72.81
59.4527,16.3856,23.5533,77.5266,1.1401,56.1224,72.81
60.4608,16.6302,22.7599,77.5266,1.1281,57.6346,72.81
60.4608,16.7917,22.5157,77.5266,1.1521,57.6346,72.81
60.4608,16.8842,24.4689,75.7984,1.1401,55.9244,72.81
60.4608,17.2208,23.2176,75.7984,1.108,58.3906,73.655
61.1989,17.1599,22.6378,76.7165,1.1521,56.5725,73.655
61.1989,17.3687,21.6307,76.7165,1.1642,56.5725,73.655
61.919,17.2576,21.6307,76.7165,1.3288,56.5725,71.975
61.919,17.2576,21.6307,76.7165,1.2324,58.6067,71.975
61.919,17.3671,21.173,76.7165,1.1923,55.1863,67.875
61.919,17.5745,21.173,76.7165,1.1963,54.6103,67.875
62.5491,17.7708,27.7037,76.7165,1.1,55.6364,69.65
62.5491,18.0723,27.1239,75.6004,1.116,56.3384,69.65
62.5491,18.3918,26.5135,74.6463,1.112,59.0387,70.35
62.5491,18.4655,26.5135,73.6022,1.116,56.9865,70.35
63.2871,18.5196,25.7201,71.982,1.12,55.2403,70.35
63.2871,18.8755,25.7201,71.982,1.108,58.7687,70.35
63.2871,19.0716,26.1778,71.982,1.2886,56.2844,68.075
63.2871,19.434,26.1778,71.0279,1.2806,55.1503,68.075
63.2871,19.5242,26.5746,71.0279,1.2726,57.1485,68.075
